id,predicted_price
2591820310,372395.0376480932
7974200820,830993.1850479943
7701450110,1115924.0512171737
9522300010,1799984.827235409
9510861140,689860.4838221748
1761300310,242491.38882028888
7732410120,795173.4360587514
7010701383,640391.7742430817
291310170,468107.58700269763
4232901990,588207.2355318611
6840701125,596437.7009199369
3971700580,424717.4479631212
4202400078,246437.52242392267
6064800090,371496.63503057
2626119028,253859.70569961114
3303980660,1212782.617665065
862000020,997109.5879693675
2386000070,922977.9368756966
1138000450,359257.08533366164
1775800420,443091.9777678573
2291401425,419432.4425113845
2025770560,910233.017729523
3525069037,673074.7303992902
9324800450,550310.2300591342
8080400136,578741.2461700023
8651540040,543614.5280099859
9407001790,250839.7878398878
1773101530,182656.27070760893
9432900250,326427.8114150272
1794500695,589248.7999099974
2220069003,355607.6686267201
923000120,457225.64885948325
5728000060,574905.4555885976
16000200,230572.8313934784
1926059094,457984.0798443176
6672900220,949679.9318712812
3629860060,824708.0677703863
1822069109,386560.7468933683
6675500105,388929.6746154471
249000180,1857430.0933239567
226059065,536587.0135747235
396100110,265263.3426707237
9264450460,316384.32718242885
7853361210,410144.93087731034
9474700020,265892.6869600658
421000455,229644.4140007351
3755200220,429848.70169892476
7960100075,432444.3809378243
9477100490,376589.5350173442
9138100350,782697.8450856262
1624049275,492942.8528801018
2770606890,540908.4286473383
1157200189,410284.6727414477
2770601800,560416.419807249
9301300805,554533.2793350281
2325069032,1334205.7954327292
1021079099,331143.7354304631
7215730040,761677.5632118175
1853200080,430323.7202125418
3224600340,668771.8379624371
3222049120,420880.43701363483
2113700025,272144.78475186
7893207925,216142.13545530062
3586501085,548401.201072655
8024200010,392249.8967530339
7116500705,171487.0084740729
1598600209,298379.9378654927
7204200025,710289.0168704274
4206901505,586435.8388466587
2937300440,926995.2694828568
7205000180,312700.530778438
8718500665,405579.64389281
5318101765,932031.247036217
4122700020,927174.2308406399
8078700020,559533.890119631
3303980680,981344.0666876137
8924100372,1089818.8030644695
2781270210,220640.0788722156
